Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
RM-08-M43,,M43=6503.06,Round,19.18,7.55,8,1,3,3,2.3,1,2,2,1.7,0.5,0.5,0.5,0.5,8,8,8,8,0.22,0.13,0.1
RM-08-M43,,M43=6503.07,Oval,15.58,10.38,5,3,4,4,3.7,2.5,2.5,2,2.3,3,4,3,3.3,0.5,0.5,0.5,1,0.15,0.11,0.04
RM-08-M43,,M43=6503.08,Round,15.94,5.58,7,2,1.5,2,1.8,1.5,1.5,2.5,1.8,1,0.5,1,0.8,6,7,6,6,0.09,0.06,0.04
RM-08-M43,,M43=6503.09,Round,16.3,3.61,5,2,2,1.5,1.8,2.5,2,2,2.2,0.5,1,0.25,0.6,5,4,5,5,0.1,0.06,0.03
RM-08-M43,,M43=6503.10,Square,22.85,4.58,5,2,2,2,2.0,2,2,2,2.0,0.5,0.5,1,0.7,7,8,8,8,0.13,0.07,0.06
RM-08-M43,,M43=6503.11,Triangle,14.38,8.33,7,3,3,3,3.0,4.5,4.5,4,4.3,1,1,1,1.0,3,3,3,3,0.13,0.06,0.07
M10-11-Cemetery,PICFM-49/22-OMO11,M10=7142.01,Oval,61.71,18.01,9,5,5,5,5.0,3,4.5,4.0,3.8,0,1,2,1.0,17,17,17,17,5.84,2.44,3.1
M10-11-Cemetery,,M10=7142.02,Oval,30.15,14.06,6,4,4.5,5,4.5,2,2,5.0,3.0,1,0.5,2,1.2,7,7,7,7,1,0.22,0.75
M10-11-Cemetery,,M10=7142.03,Round,18.9,11.34,6,4.5,3,3,3.5,3,1,1.0,1.7,0.5,0.5,0.5,0.5,7,7,5,6,0.46,0.29,0.14
M10-11-Cemetery,PICFM-49/22-OMO12,M10=7074.01,Round,56.68,11.13,7,4,4,5,4.3,2.5,3,2.5,2.7,1,1,1,1.0,17,16,15,16,0.85,0.19,0.65
M10-11-Cemetery,,M10=7074.02,Round,32.45,11.26,7,3,3,4,3.3,2.5,2.5,3.0,2.7,1,2,2.5,1.8,7,8,9,8,0.93,0.29,0.62
M10-11-Cemetery,,M10=7074.03,Round,19.29,13.3,9,5,5,5,5.0,2.5,2.5,2.5,2.5,0,1,0.5,0.5,6,3,5,5,0.68,0.43,0.26
M10-11-Cemetery,,M10=7074.04,Oval,15.96,11.83,6,2.5,3.5,5,3.7,3,2,4.5,3.2,1,0.5,0.25,0.6,6,5,4,5,0.43,0.1,0.33
M10-11-Cemetery,,M10=7074.05,Oval,15.79,9.07,9,2.5,4,3,3.2,1.5,2.5,3.0,2.3,0.5,1,1,0.8,6,6,2,5,0.16,0.09,0.04
M10-11-Cemetery,,M10=7074.06,Oval,19.32,7.76,9,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,0.5,0.5,1.5,0.8,9,8,8,8,0.24,0.11,0.12
M10-11-Cemetery,PICFM-49/22-OMO13,M10=7942.01,Rectangle,90.07,14.82,7,5,4,3,4.0,4.5,3,3.0,3.5,1,2,2,1.7,26,25,26,26,5,1.92,3.04
M10-11-Cemetery,,M10=7942.02,Round,78.5,21.51,7,8,7,5,6.7,3,5,4.0,4.0,0,1,4,1.7,19,16,15,17,6.07,1.61,4.42
M10-11-Cemetery,,M10=7942.03,Square,62.64,24.09,10,6,5,5,5.3,3,3,2.5,2.8,1,3,2,2.0,16,16,15,16,5,1.6,3.29
M10-11-Cemetery,,M10=7942.04,Oval,67.51,15.51,8,3,4,4,3.7,2.5,3,3.0,2.8,3,3,5,3.7,15,16,16,16,3.68,1.19,2.46
M10-11-Cemetery,,M10=7942.05,Oval,45.64,21.38,8,6,8,8,7.3,2.5,3,5.0,3.5,0,1,2,1.0,13,12,12,12,4.74,1.36,3.06
M10-11-Cemetery,,M10=7942.06,Oval,54.55,11.18,10,2.5,3,3,2.8,1.5,1.5,1.5,1.5,1,1,1,1.0,19,17,19,18,1.58,0.36,1.21
M10-11-Cemetery,,M10=7942.07,Oval,50.35,16.7,7,6,6,6,6.0,2,4,1.5,2.5,1,2,1,1.3,12,11,11,11,2.38,0.62,1.74
M10-11-Cemetery,,M10=7942.08,Round,51.74,18.02,8,5.5,5.5,6,5.7,2,3,3.0,2.7,0.5,1,2,1.2,14,14,14,14,3.22,0.34,2.85
M10-11-Cemetery,,M10=7942.09,Oval,53.88,16.14,6,6,7,6,6.3,3,4,3.0,3.3,2,3,1,2.0,13,13,15,14,2.08,0.36,1.71
M10-11-Cemetery,,M10=7942.10,Oval,44.41,13.28,8,3,5,4,4.0,2,3,5.0,3.3,1,1,1,1.0,10,11,13,11,1.08,0.22,0.85
M10-11-Cemetery,,M10=7942.11,Oval,41,14.63,8,5,5,5,5.0,2.5,2.5,3.0,2.7,2,1,1,1.3,12,14,16,14,1.29,0.27,1
M10-11-Cemetery,,M10=7942.12,Rectangle,51.28,16.31,8,3,3,3,3.0,3,3,2.0,2.7,2,0.25,1,1.1,11,8,8,9,2.06,0.22,1.83
M10-11-Cemetery,,M10=7942.13,Oval,33.97,12.58,7,4,6,6,5.3,2,5,5.0,4.0,1,1,2,1.3,8,7,6,7,0.59,0.22,0.35
M10-11-Cemetery,,M10=7942.14,Oval,23.13,16.1,8,2.5,5,6,4.5,2.5,3,3.0,2.8,2,2,2,2.0,7,6,7,7,1.1,0.23,0.85
M10-11-Cemetery,,M10=7942.15,Oval,29.09,12.9,5,4,5,5,4.7,3,3,3.0,3.0,1,1.5,4,2.2,7,7,7,7,0.88,0.16,0.73
M10-11-Cemetery,,M10=7942.16,Oval,32.12,7.44,6,3,4,4.5,3.8,2.5,2.5,2.5,2.5,1,1,1,1.0,8,10,8,9,0.36,0.12,0.26
M10-11-Cemetery,,M10=7942.17,Rectangle,25.84,5.56,6,3,3,3,3.0,3,3.5,3.5,3.3,1,1,1,1.0,6,6,5,6,0.17,0.09,0.06
M10-11-Cemetery,,M10=7942.18,Oval,24.44,7.12,5,2.5,4,4,3.5,2.5,2,2.5,2.3,0.5,0.25,1,0.6,9,11,10,10,0.32,0.19,0.13
M10-11-Cemetery,,M10=7942.19,Rectangle,24.7,10.25,9,2,3,3,2.7,2.5,2,2.0,2.2,1,1,1,1.0,8,7,9,8,0.18,0.09,0.09
M10-11-Cemetery,,M10=7942.20,Square,19.41,6.84,6,2.5,3,3,2.8,2.5,3,3.0,2.8,1,1,1,1.0,5,4,4,4,0.12,0.06,0.06
M10-11-Cemetery,,M10=7942.21,Round,19.61,6.51,7,3,3,3,3.0,3,3,2.5,2.8,2,2,1,1.7,5,6,6,6,0.14,0.09,0.06
M10-11-Cemetery,PICFM-49/22-OMO14,M10=8004.01,Oval,68.65,17.28,8,6,6,6,6.0,3,3,3.0,3.0,2,2,2,2.0,20,21,19,20,2.78,0.32,2.45
M10-11-Cemetery,,M10=8004.02,Round,71.16,14.33,7,4,6,6,5.3,4,4,3.0,3.7,2,0.5,3,1.8,21,20,21,21,3.26,0.44,2.82
M10-11-Cemetery,,M10=8004.03,Oval,65.69,16.14,6,7,7,6,6.7,4,4,3.0,3.7,2,2,0.5,1.5,16,18,17,17,3.12,0.72,2.32
M10-11-Cemetery,,M10=8004.04,Oval,65.62,26.73,12,6,5,7,6.0,4,4,4.0,4.0,1.5,2,2,1.8,15,13,15,14,4.29,0.63,3.58
